可是當時我的中文還不太好的 可是當時我的中文還是不太好的
我有注意到他們的動作 我有注意他們的動作
那時候我在公車站等公車 那時候我我在公車站等公車
他迷路 他被迷路
我覺得有一點奇怪就是為什麼看來看去 我覺得有一點奇怪就是看來看去
您比較了解京戲背景 比較了解京戲背景
成功的人都說 他們成功的人都說
我還想陪她回夏威夷去呼吸新鮮的空氣讓她的肺病可以快點好 我還想陪她回夏威夷去呼吸新鮮的空氣讓她的肺病可以快好
她（他）都會為我想 她（他）都會為我而想
帶現在你使用的ＬＶ的皮包就好了 現在你使用的ＬＶ的皮包就好了
我想要妳帶東西 我想要妳帶的東西
我認為一定要去新竹 我認為要去新竹
我真的開始滿喜歡他的 我真的開始滿喜歡他
看了越多就越滿意 看越多就越滿意
只要讓我舒服就好 只要讓我舒服
夢就到這裡停止 夢就到這裡停
這麼早醒來我真的很累 這麼早醒我真的很累
因此我很喜歡這裡的環境 我很喜歡這裡的環境
在那個地方有國中 在那個地方有國中學校
有色香味俱全的中式美食 有色香味俱全的中美食
省交通費 省交通費了
她決定開餐廳的理由還蠻特別的 她決定開餐廳的理由是還蠻特別的
還有中國跟台灣向西方學到了那麼多的事情 還有中國跟台灣向西方學到了那麼多事情
我感覺現在該西方 我感覺現在該西方了
我最近幫助我爸爸的朋友開餐廳 我最近幫助我爸爸的朋友開餐廳的準備
我認為這次的經驗一定將來對我有幫助 我認為這次的經驗一定將來有幫助
開了一家房地產公司 他開了一家房地產公司
可是這是我對我媽表達感謝的方法 可是這是我對我媽感謝的方法
什麼事都要發生 什麼都要發生
我跟妹妹在這邊一切都很好 我跟妹妹這邊一切都很好
離開家好像是昨天才發生一樣 離開家好像是昨天一樣
真有意思 真很有意思
每個人都歡歡喜喜度過那一夜 每個人都歡歡喜喜過那一夜
而且大家都可以參加 而大家都可以參加
我已經請教他的朋友們 我已經請他的朋友們
然後聊到很晚 然後聊天到很晚
還有許多可以吃到飽的食物 還有可以吃到飽的食物
我要告訴你很好的消息 我要告訴很好的消息
那時候大部分的人都已經走了 那時候大部分的人已經走了
我覺得像我媽媽這樣一直為自己努力的人很少 我覺得像我媽媽這樣一直為了自己努力的人很少
另外３首歌我覺得傳統的中文歌比較有意思 另外３首歌是我覺得傳統的中文歌比較有意思
手上拿「王宜家」的旗子 手上拿「王宜家」旗子
我每次都會跟外國人在一起 我每次會跟外國人在一起
但是我連你的臉也還不認得 但是連你的臉也還不認得
在羅斯福師大路口有一間酒吧剛好明晚請了一位有名的爵士歌手來表演 在羅斯福師大路口有一間酒吧剛好明晚請了一位有名爵士歌手來表演
本來計畫明晚才告訴你 本來計畫明晚告訴你
